rowid;fpl_hostname;fpl_letter;fpl_name;fpl_discmethod;fpl_controvflag;fpl_disc;fpl_orbper;fpl_smax;fpl_eccen;fpl_bmasse;fpl_bmassj;fpl_bmassprov;fpl_rade;fpl_radj;fpl_rads;fpl_dens;fpl_eqt;fpl_insol;fpl_tranflag;fpl_cbflag;fpl_snum;ra_str;ra;dec_str;dec;fst_dist;fst_optmag;fst_optmagband;fst_nirmag;fst_nirmagband;fst_spt;fst_teff;fst_logg;fst_lum;fst_mass;fst_rad;fst_met;fst_metratio;fst_age
569;HD 191806;b;HD 191806 b;Radial Velocity;0;2016;160.630.000.000;2.800.000;0.259000;270.791.160;852.000;Msini;12.600;1.120;0.115;744.000;;;0;0;1;20h09m28.31s;302.367.950;+52d16m34.8s;52.276.329;65.79;8.084;V (Johnson);6.639;Ks (2MASS);K0;6010.00;4.45;0.348;1.14;1.40;0.300;[Fe/H];2.900
570;HD 192263;b;HD 192263 b;Radial Velocity;0;1999;2.435.560.000;0.150000;0.050000;17.798.480;0.56000;Msini;14.200;1.260;0.130;0.34200;486;;0;0;1;20h13m59.85s;303.499.359;-00d52m00.8s;-0.866877;19.65;7.790;V (Johnson);5.537;Ks (2MASS);K2 V;4976.00;4.51;-0.496;0.66;0.74;0.030;[Fe/H];2.090
571;HD 192310;b;HD 192310 b;Radial Velocity;0;2011;7.472.000.000;0.320000;0.130000;1.690.000;0.05320;Msin(i)/sin(i);4.270;0.381;0.039;119.000;355;;0;0;1;20h15m17.39s;303.822.449;-27d01m58.7s;-27.032.976;8.80;5.730;V (Johnson);3.501;Ks (2MASS);K3 V;5166.00;4.51;-0.415;0.80;0.81;-0.040;[Fe/H];7.810
572;HD 192310;c;HD 192310 c;Radial Velocity;0;2011;52.580.000.000;1.180.000;0.320000;2.400.000;0.07600;Msin(i)/sin(i);5.250;0.469;0.048;0.91100;185;;0;0;1;20h15m17.39s;303.822.449;-27d01m58.7s;-27.032.976;8.80;5.730;V (Johnson);3.501;Ks (2MASS);K3 V;5166.00;4.51;-0.415;0.80;0.81;-0.040;[Fe/H];7.810
573;HD 192699;b;HD 192699 b;Radial Velocity;0;2007;34.094.000.000;1.063.000;0.082000;66.617.168;209.600;Msini;13.400;1.190;0.122;152.000;;;0;0;1;20h16m06.01s;304.025.024;+04d34m50.9s;4.580.795;72.01;6.440;V (Johnson);4.366;Ks (2MASS);G8 IV;5041.00;3.25;1.140;1.38;4.41;0.320;[Fe/H];2.180
574;HD 195019;b;HD 195019 b;Radial Velocity;0;1998;1.820.132.000;0.140000;0.010000;126.496.340;398.000;Msini;13.000;1.160;0.119;316.000;;;0;0;1;20h28m18.63s;307.077.637;+18d46m10.2s;18.769.497;37.71;6.870;V (Johnson);5.256;Ks (2MASS);G3 V/IV;5751.00;4.18;0.333;1.21;1.48;0.050;[Fe/H];9.320
575;HD 196050;b;HD 196050 b;Radial Velocity;0;2002;137.800.000.000;2.510.000;0.230000;101.069.940;318.000;Msini;13.100;1.170;0.120;247.000;;;0;0;1;20h37m51.71s;309.465.454;-60d38m04.1s;-60.634.483;50.75;7.500;V (Johnson);6.034;Ks (2MASS);G4 V;5879.00;4.25;0.345;1.31;1.42;0.210;[Fe/H];3.500
576;HD 196067;b;HD 196067 b;Radial Velocity;0;2012;363.800.000.000;5.020.000;0.660000;219.290.000;690.000;Msini;12.700;1.130;0.116;588.000;;;0;0;1;20h41m44.09s;310.433.716;-75d21m02.9s;-75.350.800;39.98;6.030;V (Johnson);5.080;Ks (2MASS);G1 V;6017.00;4.24;0.572;1.29;1.73;0.180;[Fe/H];3.300
577;HD 196885;b;HD 196885 b;Radial Velocity;0;2007;133.300.000.000;2.370.000;0.480000;81.997.000;258.000;Msini;13.200;1.180;0.121;196.000;;;0;0;2;20h39m51.88s;309.966.156;+11d14m58.7s;11.249.649;34.20;6.398;V (Johnson);5.072;Ks (2MASS);F8 V;6254.00;4.31;0.380;1.28;1.31;0.220;[Fe/H];3.120
578;HD 197037;b;HD 197037 b;Radial Velocity;0;2012;103.570.000.000;2.070.000;0.220000;25.100.000;0.79000;Msini;13.900;1.240;0.128;0.51400;;;0;0;2;20h39m32.96s;309.887.329;+42d14m54.8s;42.248.550;33.00;6.809;V (Johnson);5.488;Ks (2MASS);F7 V;6150.00;4.40;0.239;1.11;1.10;-0.200;[Fe/H];1.900
